upa_id,site_id,strip_id,point_id,stream,location,point_no,lat,lon,date,type.forest,type.color
PRIM,PRIMd,PRIMd_I,PRIMd_I3,Dry,Interior,3,-9.39987986,-63.04464706,10/07/2016 15:04,P,P.Interior
PRIM,PRIMd,PRIMd_I,PRIMd_I4,Dry,Interior,4,-9.40098418,-63.04519641,10/07/2016 15:44,P,P.Interior
UPA2,UPA2d,UPA2d_S,UPA2d_S1,Dry,Stream,1,-9.39036691,-62.97327264,14/07/2016 09:49,U,U.Stream
UPA2,UPA2d,UPA2d_S,UPA2d_S2,Dry,Stream,2,-9.39055273,-62.97448894,14/07/2016 10:19,U,U.Stream
UPA2,UPA2d,UPA2d_S,UPA2d_S3,Dry,Stream,3,-9.39104944,-62.97551623,14/07/2016 10:37,U,U.Stream
UPA2,UPA2d,UPA2d_S,UPA2d_S4,Dry,Stream,4,-9.39123544,-62.97664083,14/07/2016 10:58,U,U.Stream
UPA2,UPA2d,UPA2d_I,UPA2d_I4,Dry,Interior,4,-9.39341121,-62.9759769,14/07/2016 12:01,U,U.Interior
UPA2,UPA2d,UPA2d_I,UPA2d_I3,Dry,Interior,3,-9.39315666,-62.97481466,14/07/2016 12:33,U,U.Interior
UPA2,UPA2d,UPA2d_I,UPA2d_I2,Dry,Interior,2,-9.39256892,-62.97373381,14/07/2016 13:20,U,U.Interior
UPA2,UPA2d,UPA2d_I,UPA2d_I1,Dry,Interior,1,-9.3924706,-62.97264651,14/07/2016 14:07,U,U.Interior
UPA4,UPA4d,UPA4d_I,UPA4d_I1,Dry,Interior,1,-9.36254662,-62.94000428,07/06/2016 13:49,U,U.Interior
UPA4,UPA4d,UPA4d_I,UPA4d_I2,Dry,Interior,2,-9.361607,-62.93947287,07/06/2016 13:39,U,U.Interior
UPA4,UPA4d,UPA4d_I,UPA4d_I3,Dry,Interior,3,-9.36093939,-62.93838071,07/06/2016 13:23,U,U.Interior
UPA4,UPA4d,UPA4d_I,UPA4d_I4,Dry,Interior,4,-9.35990782,-62.9377379,07/06/2016 12:38,U,U.Interior
UPA4,UPA4d,UPA4d_S,UPA4d_S1,Dry,Stream,1,-9.36408402,-62.93823637,07/06/2016 09:44,U,U.Stream
UPA4,UPA4d,UPA4d_S,UPA4d_S2,Dry,Stream,2,-9.36301508,-62.93775106,07/06/2016 10:11,U,U.Stream
UPA4,UPA4d,UPA4d_S,UPA4d_S3,Dry,Stream,3,-9.3624431,-62.93676049,07/06/2016 10:46,U,U.Stream
UPA4,UPA4d,UPA4d_S,UPA4d_S4,Dry,Stream,4,-9.36147776,-62.93613142,07/06/2016 11:24,U,U.Stream
UPA5,UPA5d,UPA5d_I,UPA5d_I1,Dry,Interior,1,-9.40191826,-62.94842256,09/06/2016 11:49,U,U.Interior
UPA5,UPA5d,UPA5d_I,UPA5d_I2,Dry,Interior,2,-9.40073406,-62.94839876,09/06/2016 11:30,U,U.Interior
UPA5,UPA5d,UPA5d_I,UPA5d_I3,Dry,Interior,3,-9.39956177,-62.94851485,09/06/2016 11:09,U,U.Interior
UPA5,UPA5d,UPA5d_I,UPA5d_I4,Dry,Interior,4,-9.39847841,-62.94866237,09/06/2016 10:54,U,U.Interior
UPA5,UPA5d,UPA5d_S,UPA5d_S1,Dry,Stream,1,-9.4017067,-62.94611184,09/06/2016 09:49,U,U.Stream
UPA5,UPA5d,UPA5d_S,UPA5d_S2,Dry,Stream,2,-9.40059283,-62.94613858,09/06/2016 09:58,U,U.Stream
UPA5,UPA5d,UPA5d_S,UPA5d_S3,Dry,Stream,3,-9.39956923,-62.94619432,09/06/2016 10:14,U,U.Stream
UPA5,UPA5d,UPA5d_S,UPA5d_S4,Dry,Stream,4,-9.39839484,-62.94634913,09/06/2016 10:34,U,U.Stream
